model_name,train_dataset,test_dataset,sex,n_cases,n_events,auc,ci_lower,ci_upper,bootstrap_median,n_bootstraps,seed
LR-MOV-A,MOVER,INSPIRE,Female,71081,520,0.8094392004517641,0.7876396264916768,0.8297297834745185,0.8094883994766078,2000,46
LR-MOV-A,MOVER,INSPIRE,Male,56332,867,0.7837416303453522,0.7674703253165159,0.799799733232941,0.7837953564136654,2000,46
LR-MOV-B,MOVER,INSPIRE,Female,71081,520,0.8475491473280621,0.8280002197863074,0.8654337993296797,0.8476956072050049,2000,46
LR-MOV-B,MOVER,INSPIRE,Male,56332,867,0.8191688576947899,0.8041049805401513,0.8333872577368042,0.8191949411714935,2000,46
XGB-MOV-A,MOVER,INSPIRE,Female,71081,520,0.7481697233054215,0.7232994366981446,0.7707908837472908,0.7480812971562871,2000,46
XGB-MOV-A,MOVER,INSPIRE,Male,56332,867,0.7548974378409818,0.7356484600611801,0.7731612672048254,0.7546350483275961,2000,46
XGB-MOV-B,MOVER,INSPIRE,Female,71081,520,0.8299622775928738,0.8114201210178453,0.8488337584597848,0.8299076778675645,2000,46
XGB-MOV-B,MOVER,INSPIRE,Male,56332,867,0.7957348644380305,0.7801957593309574,0.8110284197398595,0.7955810017618843,2000,46
LR-INS-A,INSPIRE,MOVER,Female,27456,264,0.7833316477885652,0.7544505928714167,0.812471388708267,0.7833835928273203,2000,46
LR-INS-A,INSPIRE,MOVER,Male,30089,559,0.7906647798212545,0.771861770026266,0.8099273455545895,0.7903550075538062,2000,46
LR-INS-B,INSPIRE,MOVER,Female,27456,264,0.7367567722681359,0.6969093423992536,0.776261641484622,0.736901714186605,2000,46
LR-INS-B,INSPIRE,MOVER,Male,30089,559,0.7325601386540597,0.7065103426518659,0.7568723626702708,0.7327325466586986,2000,46
XGB-INS-A,INSPIRE,MOVER,Female,27456,264,0.7827821741242968,0.7614581765469226,0.8026797487043363,0.7824817341668505,2000,46
XGB-INS-A,INSPIRE,MOVER,Male,30089,559,0.7748349060747174,0.7572203240896488,0.7921901477401996,0.7747341386413752,2000,46
XGB-INS-B,INSPIRE,MOVER,Female,27456,264,0.89299402620646,0.8747710983104007,0.9082466475986022,0.8929692415508912,2000,46
XGB-INS-B,INSPIRE,MOVER,Male,30089,559,0.8902979414524631,0.8781988749376037,0.9009391675036922,0.8900216817863034,2000,46
